player_name,TS_pct,heightInCm,weightInKg
Aaron Brooks,0.521,182.9,73
Aaron Gordon,0.528,205.7,100.9
Aaron Gray,0.527,213.4,122.5
Aaron Harrison,0.288,198.1,95.3
Aaron Holiday,0.521,185.4,83.9
Aaron Jackson,0.405,190.5,83
Aaron McKie,0.476,195.6,94.8
Aaron Miles,0.405,185.4,86.2
Aaron Williams,0.554,205.7,106.6
Abdel Nader,0.513,198.1,102.8
Acie Law,0.508,190.5,90.8
Adam Mokoka,0.538,195.6,86.2
Adam Morrison,0.439,203.2,93
Admiral Schofield,0.514,195.6,109.3
Adonal Foyle,0.536,208.3,122.5
Adonis Thomas,0.485,200.7,108.9
Adreian Payne,0.55,208.3,108.4
Adrian Griffin,0.461,195.6,104.3
AJ Hammons,0.472,213.4,117.9
AJ Price,0.477,188,84.8
Al Harrington,0.52,205.7,112.5
Al Horford,0.569,208.3,111.7
Al Jefferson,0.53,208.3,125.5
Al Thornton,0.515,203.2,101.5
Alan Anderson,0.52,198.1,99.8
Alan Henderson,0.594,205.7,108.9
Alan Williams,0.523,203.2,119.1
Alando Tucker,0.495,198.1,93
Alec Burks,0.523,198.1,95.6
Alec Peters,0.523,205.7,106.6
Aleksandar Radojevic,0.406,221,113.4
Alen Smailagic,0.61,208.3,97.5
Alex Abrines,0.545,198.1,87.7
Alex Acker,0.365,195.6,83.9
Alex Caruso,0.544,195.6,84.4
Alex Garcia,0.409,190.5,88.5
Alex Kirk,0.41,213.4,111.1
Alex Len,0.546,215.9,115.3
Alex Poythress,0.54,205.7,107
Alex Stepheson,0.341,208.3,122.5
Alexander Johnson,0.571,205.7,106.6
Alexey Shved,0.489,198.1,84.1
Alexis Ajinca,0.52,218.4,108.9
Al-Farouq Aminu,0.504,205.7,98.4
Alfonzo McKinnie,0.566,203.2,97.5
Alize Johnson,0.422,205.7,96.2
Allan Houston,0.529,198.1,93
Allan Ray,0.512,188,86.2
Allen Crabbe,0.532,198.1,96.2
Allen Iverson,0.534,182.9,77.1
Allonzo Trier,0.592,195.6,90.7
Alonzo Gee,0.506,198.1,100.8
Alonzo Mourning,0.575,208.3,118.4
Amar'e Stoudemire,0.591,210.8,112
Amile Jefferson,0.532,205.7,100.7
Amir Coffey,0.443,200.7,95.3
Amir Johnson,0.618,205.7,100.1
Anderson Varejao,0.534,210.8,116.2
Andray Blatche,0.495,210.8,114.3
Andre Barrett,0.464,177.8,78.5
Andre Brown,0.444,205.7,111.1
Andre Dawkins,0.25,195.6,99.3
Andre Drummond,0.545,210.8,125.5
Andre Emmett,0.523,195.6,104.3
Andre Iguodala,0.56,198.1,95.3
Andre Ingram,0.328,190.5,86.2
Andre Miller,0.54,190.5,90.9
Andre Owens,0.463,193,90.7
Andre Roberson,0.53,200.7,95.3
Andrea Bargnani,0.524,213.4,113.5
Andreas Glyniadakis,0.475,215.9,127
Andrei Kirilenko,0.536,205.7,103
Andres Nocioni,0.515,200.7,102.1
Andrew Bogut,0.549,213.4,117
Andrew Bynum,0.564,213.4,128.1
Andrew DeClercq,0.436,208.3,115.7
Andrew Goudelock,0.331,190.5,90.7
Andrew Harrison,0.485,198.1,96.6
Andrew Nicholson,0.505,205.7,113.4
Andrew White III,0.461,200.7,95.3
Andrew Wiggins,0.521,203.2,90
Andris Biedrins,0.551,213.4,109.5
Andy Rautins,0.508,193,86.2
Anfernee Hardaway,0.428,200.7,97.5
Anfernee Simons,0.52,193,83
Angel Delgado,0.255,208.3,111.1
Ansu Sesay,0.466,205.7,102.1
Antawn Jamison,0.514,205.7,106.4
Ante Zizic,0.644,210.8,116.4
Anthony Bennett,0.466,203.2,111.6
Anthony Brown,0.786,200.7,97.5
Anthony Carter,0.464,188,88.2
Anthony Davis,0.587,210.8,109.1
Anthony Goldwire,0.359,188,82.6
Anthony Grundy,0.589,190.5,83.9
Anthony Johnson,0.515,190.5,88.5
Anthony Miller,0.667,205.7,115.7
Anthony Morrow,0.56,195.6,95.3
Anthony Parker,0.551,198.1,96.8
Anthony Peeler,0.484,193,94.3
Anthony Randolph,0.516,210.8,99.8
Anthony Roberson,0.521,188,82.9
Anthony Tolliver,0.547,205.7,109.5
Antoine Walker,0.48,205.7,111.1
Antoine Wright,0.417,200.7,97.1
Antonio Anderson,0.333,198.1,97.5
Antonio Blakeney,0.479,193,88.2
Antonio Burks,0.451,182.9,88.5
Antonio Daniels,0.546,193,93
Antonio Davis,0.498,205.7,111.1
Antonio McDyess,0.523,205.7,111.1
Antonius Cleveland,0.425,198.1,88.5
Anzejs Pasecniks,0.559,218.4,103.9
Archie Goodwin,0.536,195.6,90.8
Arinze Onuaku,0.509,205.7,121.7
Armon Johnson,0.506,190.5,88.5
Arnett Moultrie,0.522,208.3,110
Aron Baynes,0.55,208.3,117.9
Arron Afflalo,0.551,195.6,96.9
Arvydas Macijauskas,0.462,193,97.1
Austin Croshere,0.527,208.3,107.7
Austin Daye,0.486,210.8,92.2
Austin Rivers,0.503,193,90.7
Avery Bradley,0.5,190.5,81.6
Awvee Storey,0.425,198.1,102.1
Axel Toupane,0.551,200.7,95.3
Bam Adebayo,0.598,208.3,115.7
Baron Davis,0.498,190.5,97.8
Ben Gordon,0.533,190.5,90.9
Ben Handlogten,0.525,208.3,108.9
Ben Hansbrough,0.501,190.5,92.1
Ben McLemore,0.542,195.6,88.8
Ben Simmons,0.582,208.3,105.8
Ben Uzoh,0.423,190.5,93
Ben Wallace,0.455,205.7,108.9
Beno Udrih,0.529,190.5,92.5
Bernard James,0.546,208.3,108.1
Bernard Robinson,0.471,198.1,95.3
Billy Garrett,0.452,198.1,97.5
Billy Thomas,0.442,195.6,99.5
Bismack Biyombo,0.555,205.7,113.1
BJ Johnson,0.477,200.7,90.7
Blake Ahearn,0.478,188,86.2
Blake Griffin,0.553,208.3,113.8
Bo Outlaw,0.582,203.2,99.8
Bob Sura,0.533,195.6,90.7
Boban Marjanovic,0.63,223.5,131.5
Bobby Brown,0.463,188,79.4
Bobby Jackson,0.509,185.4,83.9
Bobby Jones,0.522,200.7,97.5
Bobby Portis,0.524,210.8,111
Bobby Simmons,0.445,198.1,104.7
Bogdan Bogdanovic,0.549,198.1,95.3
Bojan Bogdanovic,0.587,203.2,100.5
Boniface Ndong,0.439,213.4,93
Bonzi Wells,0.491,195.6,95.3
Bonzie Colson,0.454,198.1,102.1
Boris Diaw,0.545,203.2,107.1
Bostjan Nachbar,0.532,205.7,100.2
Bracey Wright,0.514,190.5,93.2
Brad Miller,0.555,213.4,118.4
Brad Wanamaker,0.577,193,95.3
Bradley Beal,0.552,195.6,93.9
Brandan Wright,0.617,208.3,96.2
Branden Dawson,0.46,198.1,102.1
Brandon Bass,0.545,203.2,112.3
Brandon Clarke,0.67,203.2,97.5
Brandon Davies,0.47,208.3,108.9
Brandon Goodwin,0.46,188,81.6
Brandon Hunter,0.527,200.7,120.7
Brandon Ingram,0.539,205.7,86.2
Brandon Jennings,0.494,185.4,76.8
Brandon Knight,0.514,190.5,86
Brandon Paul,0.504,193,90.7
Brandon Roy,0.513,198.1,98.4
Brandon Rush,0.513,198.1,98.9
Brandon Sampson,0.567,195.6,83.5
Brendan Haywood,0.534,213.4,119.4
Brent Barry,0.611,200.7,95.3
Brevin Knight,0.465,177.8,76.7
Brian Cardinal,0.53,203.2,110
Brian Cook,0.49,205.7,113.4
Brian Grant,0.492,205.7,115.2
Brian Roberts,0.519,185.4,79.1
Brian Scalabrine,0.493,205.7,106.6
Brian Skinner,0.367,205.7,117.4
Briante Weber,0.456,188,74.8
Brice Johnson,0.386,208.3,104.3
Britton Johnsen,0.273,208.3,95.3
Brook Lopez,0.566,213.4,122.2
Bruce Bowen,0.528,200.7,90.7
Bruce Brown,0.493,195.6,91.6
Bruno Caboclo,0.398,205.7,95
Bruno Fernando,0.544,205.7,108.9
Bruno Sundov,0.33,218.4,117.9
Bryce Cotton,0.46,185.4,74.8
Bryce Dejean-Jones,0.505,198.1,92.1
Bryn Forbes,0.535,190.5,87.9
Bryon Russell,0.269,200.7,102.1
Buddy Hield,0.563,193,97.7
Byron Mullens,0.443,213.4,124.7
C.J. Watson,0.524,188,79.6
C.J. Williams,0.531,195.6,103.4
Calbert Cheaney,0.428,200.7,96.8
Caleb Martin,0.516,195.6,93
Caleb Swanigan,0.474,205.7,114.9
Calvin Booth,0.485,210.8,109.9
Cam Reddish,0.497,203.2,98.9
Cameron Bairstow,0.35,205.7,113.4
Cameron Johnson,0.576,203.2,95.3
Cameron Payne,0.479,190.5,84.5
Cameron Reynolds,0.58,203.2,102.1
Caris LeVert,0.524,200.7,92.4
Carl Landry,0.595,205.7,112.5
Carldell Johnson,0.372,177.8,81.6
Carlos Arroyo,0.514,188,91.5
Carlos Boozer,0.549,205.7,119.7
Carlos Delfino,0.508,198.1,104.3
Carmelo Anthony,0.539,203.2,105.8
Caron Butler,0.527,200.7,103
Carrick Felix,0.603,198.1,91.2
Carsen Edwards,0.446,180.3,90.7
Cartier Martin,0.493,200.7,99.8
Casey Jacobsen,0.496,198.1,97.5
Casper Ware,0.538,177.8,79.4
Cedi Osman,0.557,203.2,99.8
Cedric Bozeman,0.312,198.1,93.9
Cedric Jackson,0.396,190.5,86.2
Cedric Simmons,0.367,205.7,106.6
Chandler Hutchison,0.514,200.7,92.3
Chandler Parsons,0.523,208.3,103.7
Channing Frye,0.546,213.4,113.2
Charles Brown Jr.,0.472,198.1,90.3
Charles Jenkins,0.454,190.5,98.7
Charles Smith,0.53,193,90.7
Charlie Bell,0.49,190.5,90.7
Charlie Villanueva,0.511,210.8,105.9
Charlie Ward,0.453,188,83.9
Chase Budinger,0.53,200.7,97.1
Chasson Randle,0.513,188,83.9
Chauncey Billups,0.581,190.5,93.1
Cheick Diallo,0.615,205.7,99.7
Cheikh Samb,0.466,215.9,111.1
Chimezie Metu,0.493,208.3,102.1
Chinanu Onuaku,0.6,208.3,111.1
Chris Andersen,0.581,208.3,106
Chris Babb,0.367,195.6,102.1
Chris Bosh,0.574,210.8,105.6
Chris Boucher,0.379,208.3,90.7
Chris Chiozza,0.442,182.9,79.4
Chris Clemons,0.547,175.3,81.6
Chris Copeland,0.534,205.7,105.9
Chris Douglas-Roberts,0.5,200.7,94.5
Chris Duhon,0.515,185.4,84.9
Chris Hunter,0.546,210.8,108.9
Chris Johnson,0.551,210.8,93.2
Chris Kaman,0.524,213.4,120.2
Chris McCullough,0.491,210.8,95.3
Chris Mihm,0.477,213.4,120.2
Chris Paul,0.582,185.4,79.4
Chris Quinn,0.463,188,80.1
Chris Richard,0.522,205.7,119.3
Chris Silva,0.663,203.2,106.1
Chris Singleton,0.456,205.7,104
Chris Taft,0.578,208.3,118.4
Chris Webber,0.48,208.3,111.1
Chris Wilcox,0.583,208.3,106.6
Chris Wright,0.558,205.7,100.1
Christian Eyenga,0.387,200.7,95.3
Christian Laettner,0.619,210.8,111.1
Christian Wood,0.585,210.8,98.4
Chuck Hayes,0.518,198.1,109.8
Chucky Atkins,0.5,180.3,82
CJ McCollum,0.545,193,88.1
CJ Miles,0.519,198.1,101.5
CJ Wilcox,0.449,195.6,88.5
Clar. Weatherspoon,0.475,200.7,122.5
Cleanthony Early,0.409,203.2,97.5
Cliff Alexander,0.5,203.2,108.9
Clifford Robinson,0.469,208.3,109.6
Clint Capela,0.589,208.3,108.9
Coby Karl,0.449,195.6,97.5
Coby White,0.507,193,88.5
Cody Martin,0.5,195.6,93
Cody Zeller,0.573,213.4,108.9
Cole Aldrich,0.543,210.8,111.9
Collin Sexton,0.539,188,86.2
Corey Brewer,0.499,205.7,84.7
Corey Maggette,0.568,198.1,102.1
Corliss Williamson,0.534,200.7,111.1
Corsley Edwards,0.372,205.7,124.7
Cory Alexander,0.451,185.4,86.2
Cory Higgins,0.377,195.6,81.6
Cory Jefferson,0.463,205.7,98.9
Cory Joseph,0.505,190.5,86.3
Coty Clarke,0.75,200.7,102.1
Courtney Fortson,0.453,180.3,83.9
Courtney Lee,0.555,195.6,91.9
Courtney Sims,0.25,210.8,111.1
Craig Brackins,0.288,208.3,104.3
Craig Smith,0.582,203.2,117.3
Cristiano Felicio,0.611,208.3,123
Curtis Borchardt,0.492,213.4,109.8
Cuttino Mobley,0.525,193,97.5
D.J. Augustin,0.552,182.9,82.6
D.J. Kennedy,0.466,195.6,97.1
D.J. Wilson,0.537,208.3,105.5
Daequan Cook,0.492,195.6,94.9
Dahntay Jones,0.503,198.1,98.1
Dairis Bertans,0.362,193,90.7
DaJuan Summers,0.419,203.2,108.9
Dajuan Wagner,0.726,190.5,90.7
Dakari Johnson,0.575,213.4,115.7
Dale Davis,0.474,210.8,114.3
Damian Jones,0.604,213.4,111.1
Damian Lillard,0.578,190.5,88.5
Damien Inglis,0.444,203.2,111.6
Damien Wilkins,0.496,198.1,101.7
Damion James,0.301,200.7,101.5
Damion Lee,0.538,198.1,95.3
Damir Markota,0.449,208.3,102.1
Damjan Rudez,0.543,208.3,99.5
Damon Jones,0.551,190.5,86.6
Damon Stoudamire,0.489,177.8,78.6
Damone Brown,0.409,203.2,91.6
Damyean Dotson,0.528,198.1,95.3
Dan Dickau,0.525,182.9,83.9
Dan Gadzuric,0.423,210.8,109.7
D'Angelo Russell,0.524,195.6,88.5
Daniel Ewing,0.477,190.5,83.9
Daniel Gafford,0.676,208.3,106.1
Daniel Gibson,0.54,188,89.7
Daniel Hamilton,0.5,200.7,88.5
Daniel Ochefu,0.43,210.8,111.1
Daniel Orton,0.527,208.3,118.7
Daniel Santiago,0.426,215.9,116.1
Daniel Theis,0.62,205.7,110.5
Danilo Gallinari,0.589,208.3,102.4
Danny Fortson,0.621,203.2,117.9
Danny Granger,0.531,205.7,103.1
Danny Green,0.56,198.1,96.7
Dante Cunningham,0.522,203.2,103.9
Dante Exum,0.527,198.1,88.4
Danuel House Jr.,0.584,200.7,99.8
DaQuan Jeffries,0.5,195.6,104.3
Dario Saric,0.555,208.3,101.4
Darius Bazley,0.475,203.2,94.3
Darius Garland,0.498,185.4,87.1
Darius Miles,0.508,205.7,99
Darius Miller,0.478,203.2,103
Darius Morris,0.463,193,87.3
Darius Songaila,0.532,205.7,111.5
Darius Washington,0.493,188,88.5
Darko Milicic,0.425,213.4,121.7
Darnell Jackson,0.452,205.7,114.8
Darrell Armstrong,0.48,185.4,81.6
Darrell Arthur,0.5,205.7,106.1
Darren Collison,0.568,188,77.8
Darrick Martin,0.404,180.3,77.1
Darrun Hilliard,0.444,198.1,95.3
Darryl Watkins,0.437,210.8,117
Darvin Ham,0.454,200.7,108.9
Daryl Macon,0.491,190.5,83.9
David Andersen,0.505,210.8,111.6
David Harrison,0.543,213.4,127
David Lee,0.582,205.7,110.5
David Noel,0.47,198.1,104.3
David Nwaba,0.585,195.6,97.1
David Stockton,0.757,180.3,74.8
David Wesley,0.492,185.4,92.1
David West,0.544,205.7,110.4
Davis Bertans,0.614,208.3,98.7
Davon Reed,0.444,198.1,94.8
De'Aaron Fox,0.525,190.5,80.9
Dean Wade,0.744,205.7,103.4
Deandre Ayton,0.59,215.9,113.4
DeAndre' Bembry,0.492,198.1,95.3
De'Andre Hunter,0.516,200.7,102.1
DeAndre Jordan,0.634,210.8,119.1
DeAndre Liggins,0.593,198.1,94.8
De'Anthony Melton,0.498,193,90.7
Dee Brown,0.43,182.9,83
Dejounte Murray,0.508,195.6,78.6
DeJuan Blair,0.517,200.7,122.1
Delon Wright,0.546,195.6,85.1
Delonte West,0.535,193,81.6
DeMar DeRozan,0.541,200.7,99.3
DeMarcus Cousins,0.539,210.8,122.5
DeMarcus Nelson,0.44,193,90.7
DeMarre Carroll,0.512,203.2,96.5
Demetris Nichols,0.34,203.2,98
Demetrius Jackson,0.611,185.4,91.2
Deng Adel,0.424,200.7,90.7
Dennis Horner,0.434,205.7,104.3
Dennis Schroder,0.514,185.4,77.5
Dennis Smith Jr.,0.458,190.5,90
Denzel Valentine,0.51,198.1,97.7
Deonte Burton,0.448,195.6,110
DeQuan Jones,0.485,203.2,100.2
Derek Anderson,0.521,195.6,88.5
Derek Fisher,0.515,185.4,94.6
DerMarr Johnson,0.534,205.7,94.2
Deron Williams,0.549,190.5,93.4
Derrick Brown,0.555,203.2,102.8
Derrick Byars,0.392,200.7,99.8
Derrick Caracter,0.532,205.7,124.7
Derrick Coleman,0.294,208.3,122.5
Derrick Favors,0.563,208.3,117.8
Derrick Jones Jr.,0.561,200.7,90.7
Derrick Rose,0.518,190.5,87
Derrick Walton Jr.,0.571,185.4,83.9
Derrick White,0.594,193,86.2
Derrick Williams,0.488,203.2,109
Derrick Zimmerman,0.667,190.5,88.5
DeSagana Diop,0.414,213.4,127
DeShawn Stevenson,0.479,195.6,98.1
Desmon Farmer,0.429,195.6,99.8
Desmond Mason,0.488,195.6,100.7
DeVaughn Akoon-Purcell,0.322,198.1,90.7
Devean George,0.49,203.2,107
Devin Booker,0.565,198.1,94.2
Devin Brown,0.502,195.6,97.5
Devin Ebanks,0.461,205.7,97.5
Devin Green,0.336,200.7,96.2
Devin Harris,0.55,190.5,85.1
Devin Robinson,0.475,203.2,90.7
Devon Hall,0.37,188,97.5
Devonte' Graham,0.497,188,86.2
Devyn Marble,0.365,198.1,90.7
Dewan Hernandez,0.34,208.3,106.6
Dewayne Dedmon,0.57,213.4,111.8
Dexter Pittman,0.289,210.8,131.9
Deyonta Davis,0.61,210.8,108
Diamond Stone,0.339,210.8,115.7
Diante Garrett,0.417,193,86.2
Dijon Thompson,0.512,203.2,89.6
Dikembe Mutombo,0.573,218.4,118.8
Dillon Brooks,0.512,200.7,100.5
Dion Glover,0.473,195.6,102.1
Dion Waiters,0.501,193,98.9
Dionte Christmas,0.489,195.6,93
Dirk Nowitzki,0.569,213.4,111.1
DJ Mbenga,0.487,213.4,114.4
DJ Stephens,0.485,195.6,85.3
DJ Strawberry,0.364,195.6,91.2
DJ White,0.467,205.7,112.5
Domantas Sabonis,0.563,210.8,110.2
Dominic McGuire,0.428,205.7,102.1
Dominique Jones,0.444,195.6,97.5
Donald Sloan,0.473,190.5,93
Donatas Motiejunas,0.5,213.4,103
Donell Taylor,0.437,195.6,85.3
Donovan Mitchell,0.547,190.5,97.5
Donta Hall,0.434,205.7,103.9
Donta Smith,0.531,200.7,97.5
Donte DiVincenzo,0.537,193,92.1
Donte Greene,0.479,210.8,102.5
Dontell Jefferson,0.559,195.6,88.5
Donyell Marshall,0.544,205.7,107
Dorell Wright,0.506,205.7,93.8
Dorian Finney-Smith,0.523,203.2,99.8
Doron Lamb,0.488,193,93
Doug Christie,0.414,198.1,93
Doug McDermott,0.57,203.2,101.2
Dragan Bender,0.496,215.9,104.8
Draymond Green,0.515,200.7,104.3
Drew Eubanks,0.726,208.3,111.1
Drew Gooden,0.499,208.3,112.8
Drew Gordon,0.428,205.7,111.1
Duje Dukan,0.3,205.7,99.8
Duncan Robinson,0.597,203.2,96.4
Dusty Hannahs,0.459,193,91.9
Dwayne Bacon,0.473,200.7,100.2
Dwayne Jones,0.403,210.8,113.8
Dwight Buycks,0.499,190.5,86.2
Dwight Howard,0.606,210.8,120.1
Dwight Powell,0.619,210.8,108.9
Dwyane Wade,0.552,193,98.8
Dzanan Musa,0.441,205.7,96.4
Earl Barron,0.408,213.4,114
Earl Boykins,0.506,165.1,60.3
Earl Clark,0.447,208.3,103.4
Earl Watson,0.477,185.4,87.4
Ed Davis,0.567,208.3,105.1
Eddie Basden,0.471,195.6,97.5
Eddie Gill,0.553,182.9,85.4
Eddie Griffin,0.393,208.3,106.1
Eddie House,0.533,185.4,80.4
Eddie Jones,0.528,198.1,90.7
Eddy Curry,0.568,213.4,131
Edmond Sumner,0.645,198.1,84.7
Eduardo Najera,0.503,203.2,105.7
Edwin Ubiles,0.362,198.1,92.5
Edy Tavares,0.594,221,119.1
Ekpe Udoh,0.526,208.3,111.1
Elden Campbell,0.408,213.4,126.6
Elfrid Payton,0.494,193,84.7
Elie Okobo,0.5,190.5,86.2
Elijah Millsap,0.341,200.7,99
Elliot Williams,0.468,196,86
Elton Brand,0.524,205.7,115.9
Emanuel Terry,0.571,205.7,99.8
Emeka Okafor,0.534,208.3,115.3
Emmanuel Mudiay,0.495,195.6,90.7
Enes Kanter,0.585,210.8,114
Eric Bledsoe,0.546,185.4,90.4
Eric Dawson,0.582,205.7,113.4
Eric Gordon,0.554,193,98.1
Eric Maynor,0.458,190.5,79.4
Eric Mika,0.773,208.3,105.7
Eric Moreland,0.637,208.3,105.7
Eric Paschall,0.573,198.1,115.7
Eric Piatkowski,0.531,200.7,97.5
Eric Snow,0.395,190.5,93
Eric Williams,0.511,203.2,99.8
Erick Dampier,0.552,210.8,120.2
Erick Green,0.452,193,83.9
Erick Strickland,0.453,190.5,98.9
Erik Daniels,0.361,203.2,97.1
Ersan Ilyasova,0.54,208.3,106.6
Ervin Johnson,0.491,210.8,111.1
Esteban Batista,0.507,208.3,122
Etan Thomas,0.542,208.3,117.9
E'Twaun Moore,0.524,193,86.6
Evan Fournier,0.566,200.7,92.4
Evan Turner,0.487,200.7,98.4
Fab Melo,0.451,213.4,115.7
Fabricio Oberto,0.588,208.3,111.1
Festus Ezeli,0.535,210.8,118.7
Flip Murray,0.484,190.5,89.8
Francisco Elson,0.471,213.4,107.4
Francisco Garcia,0.516,200.7,89.4
Frank Jackson,0.511,190.5,93
Frank Kaminsky,0.54,213.4,109.2
Frank Mason,0.422,180.3,86.2
Frank Ntilikina,0.448,198.1,89.2
Fred Hoiberg,0.664,195.6,95.3
Fred Jones,0.53,188,100.5
Fred VanVleet,0.521,185.4,88.7
Furkan Aldemir,0.517,208.3,108.9
Furkan Korkmaz,0.493,200.7,88
Gabe Pruitt,0.412,193,77.1
Gabe Vincent,0.316,190.5,90.7
Gal Mekel,0.275,190.5,86.6
